 written on 15Jun2021 at 22:00:36 
   20.0000000000000       0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000   20.0000000000000       0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000   2.56598541000000     
           4
          41
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    2

    0    0  -20
    3    3   -0.15684105E-01  0.31099937E-07
    4    3    0.32201717E-04  0.10826521E-04
    1    4    0.36121804E-03 -0.15300732E-04
    2    4    0.29778804E-01  0.21418730E-04
    3    4    0.31094852E-04  0.72788356E-05
    4    4    0.15741057E-01 -0.66388516E-08

    0    0   10
    1    1   -0.32600464E-02  0.12368411E-06
    2    1    0.23471200E-04  0.55140905E-05
    3    1    0.12835600E-01 -0.15745868E-04
    4    1    0.36032507E-03  0.29560027E-05
    1    2    0.22776238E-04  0.44213420E-05
    2    2   -0.28839619E-03 -0.75067530E-07
    3    2   -0.12365253E-03  0.23477226E-05
    4    2    0.29779236E-01 -0.20830727E-04
    1    3   -0.56229254E-02 -0.68616228E-05
    2    3    0.59311122E-04  0.57182762E-06
    3    3   -0.44074798E-02 -0.18114924E-07
    4    3   -0.18993533E-04 -0.14751631E-04
    1    4   -0.48857425E-04 -0.92153689E-05
    2    4   -0.72225299E-02 -0.41919923E-05
    3    4   -0.17095768E-04 -0.16285718E-04
    4    4   -0.13467918E-01 -0.36720251E-07

    0    0   11
    1    1    0.80911995E-02 -0.39662751E-08
    2    1   -0.43980243E-04 -0.11021485E-05
    3    1   -0.56229262E-02  0.68610337E-05
    4    1   -0.50487442E-04 -0.11409704E-04
    1    2   -0.43975374E-04  0.10433005E-05
    2    2    0.30622192E-02  0.91742833E-08
    3    2    0.59452124E-04 -0.25144933E-05
    4    2   -0.72208613E-02  0.60906630E-05
    1    3   -0.60154687E-02 -0.73453619E-05
    2    3    0.55382036E-04  0.30672554E-05
    3    3    0.10489666E-01 -0.21515304E-07
    4    3   -0.15796848E-04 -0.13242857E-04
    1    4   -0.32818892E-03  0.11121033E-04
    2    4   -0.26093501E-01 -0.18579405E-04
    3    4   -0.14311731E-04 -0.10997730E-04
    4    4   -0.11703004E-01  0.41764037E-08

    0    0   12
    1    1   -0.19882543E-03 -0.71463553E-07
    2    1    0.20873757E-04 -0.23910249E-05
    3    1   -0.60154448E-02  0.73937639E-05
    4    1   -0.32778842E-03 -0.51923179E-05
    1    2    0.21282341E-04 -0.34352566E-05
    2    2    0.12272722E-02  0.41085486E-07
    3    2    0.55155545E-04  0.15241231E-06
    4    2   -0.26093556E-01  0.18461628E-04
    1    3    0.46493127E-02  0.56902433E-05
    2    3   -0.47536723E-04 -0.23749762E-05
    3    3   -0.25248574E-03  0.14598912E-07
    4    3    0.24243307E-04  0.10906964E-04
    1    4   -0.21735681E-04  0.89697542E-05
    2    4    0.53921035E-03 -0.44397554E-06
    3    4    0.22832521E-04  0.12133572E-04
