iaver=       1

 -0.28594E+00 -0.31015E+00 -0.31401E+00 -0.31401E+00 -0.31772E+00 -0.33743E+00 -0.34161E+00
 -0.34161E+00 -0.34521E+00 -0.35899E+00 -0.36135E+00 -0.36135E+00 -0.36246E+00 -0.37321E+00
 -0.37321E+00 -0.37437E+00 -0.37587E+00 -0.37717E+00 -0.38289E+00

     time=      25.00(fs). Energy of active surface:-0.62220E-01 RYD
  0.15856E-02 -0.61846E-02 -0.42434E-01 -0.62220E-01 -0.62220E-01 -0.70295E-01 -0.11949E+00
 -0.12683E+00 -0.12683E+00 -0.13336E+00 -0.17229E+00 -0.18485E+00 -0.18485E+00 -0.19345E+00
 -0.23385E+00 -0.23553E+00 -0.23553E+00 -0.24400E+00 -0.27567E+00 -0.27863E+00 -0.27863E+00
 -0.28276E+00 -0.30926E+00 -0.31401E+00 -0.31401E+00 -0.31872E+00 -0.33729E+00 -0.34161E+00
 -0.34161E+00 -0.34622E+00 -0.35846E+00 -0.36135E+00 -0.36135E+00 -0.36472E+00 -0.37321E+00
 -0.37321E+00 -0.37374E+00 -0.37656E+00 -0.37717E+00 -0.38397E+00

     time=      26.00(fs). Energy of active surface:-0.62220E-01 RYD
 -0.61846E-02 -0.79834E-02 -0.49297E-01 -0.62220E-01 -0.62220E-01 -0.66259E-01 -0.11677E+00
 -0.12683E+00 -0.12683E+00 -0.13314E+00 -0.17178E+00 -0.18485E+00 -0.18485E+00 -0.19482E+00
 -0.23553E+00 -0.23553E+00 -0.23750E+00 -0.24283E+00 -0.27863E+00 -0.27863E+00 -0.27925E+00
 -0.27970E+00 -0.30908E+00 -0.31401E+00 -0.31401E+00 -0.31976E+00 -0.33739E+00 -0.34161E+00
 -0.34161E+00 -0.34671E+00 -0.35812E+00 -0.36135E+00 -0.36135E+00 -0.36690E+00 -0.37321E+00
 -0.37321E+00 -0.37340E+00 -0.37717E+00 -0.37746E+00 -0.38529E+00

     time=      27.00(fs). Energy of active surface:-0.62220E-01 RYD
 -0.61846E-02 -0.17279E-01 -0.58490E-01 -0.62037E-01 -0.62220E-01 -0.62220E-01 -0.11545E+00
 -0.12683E+00 -0.12683E+00 -0.13212E+00 -0.17287E+00 -0.18485E+00 -0.18485E+00 -0.19470E+00
 -0.23553E+00 -0.23553E+00 -0.23925E+00 -0.24029E+00 -0.27596E+00 -0.27863E+00 -0.27863E+00
 -0.28306E+00 -0.30950E+00 -0.31401E+00 -0.31401E+00 -0.32042E+00 -0.33769E+00 -0.34161E+00
 -0.34161E+00 -0.34653E+00 -0.35765E+00 -0.36135E+00 -0.36135E+00 -0.36884E+00 -0.37321E+00
 -0.37321E+00 -0.37332E+00 -0.37717E+00 -0.37842E+00 -0.38653E+00

     time=      28.00(fs). Energy of active surface:-0.62220E-01 RYD
 -0.61846E-02 -0.24242E-01 -0.57585E-01 -0.62220E-01 -0.62220E-01 -0.68317E-01 -0.11748E+00
 -0.12683E+00 -0.12683E+00 -0.13074E+00 -0.17560E+00 -0.18485E+00 -0.18485E+00 -0.19233E+00
 -0.23553E+00 -0.23553E+00 -0.23700E+00 -0.23950E+00 -0.27349E+00 -0.27863E+00 -0.27863E+00
 -0.28522E+00 -0.30997E+00 -0.31401E+00 -0.31401E+00 -0.32048E+00 -0.33801E+00 -0.34161E+00
 -0.34161E+00 -0.34593E+00 -0.35683E+00 -0.36135E+00 -0.36135E+00 -0.37049E+00 -0.37321E+00
 -0.37321E+00 -0.37343E+00 -0.37717E+00 -0.37932E+00 -0.38739E+00

     time=      29.00(fs). Energy of active surface:-0.62220E-01 RYD
 -0.61846E-02 -0.28464E-01 -0.53508E-01 -0.62220E-01 -0.62220E-01 -0.76329E-01 -0.12223E+00
 -0.12683E+00 -0.12683E+00 -0.13035E+00 -0.17973E+00 -0.18485E+00 -0.18485E+00 -0.18866E+00
 -0.23319E+00 -0.23553E+00 -0.23553E+00 -0.23950E+00 -0.27261E+00 -0.27863E+00 -0.27863E+00
 -0.28575E+00 -0.31083E+00 -0.31401E+00 -0.31401E+00 -0.31934E+00 -0.33799E+00 -0.34161E+00
 -0.34161E+00 -0.34501E+00 -0.35556E+00 -0.36135E+00 -0.36135E+00 -0.37185E+00 -0.37321E+00
 -0.37321E+00 -0.37367E+00 -0.37717E+00 -0.38017E+00 -0.38769E+00

     time=      30.00(fs). Energy of active surface:-0.62220E-01 RYD
 -0.61846E-02 -0.28920E-01 -0.50041E-01 -0.62220E-01 -0.62220E-01 -0.80507E-01 -0.12683E+00
 -0.12683E+00 -0.12764E+00 -0.12927E+00 -0.18367E+00 -0.18485E+00 -0.18485E+00 -0.18516E+00
 -0.23057E+00 -0.23553E+00 -0.23553E+00 -0.23998E+00 -0.27280E+00 -0.27863E+00 -0.27863E+00
 -0.28556E+00 -0.31202E+00 -0.31401E+00 -0.31401E+00 -0.31750E+00 -0.33777E+00 -0.34161E+00
 -0.34161E+00 -0.34396E+00 -0.35421E+00 -0.36135E+00 -0.36135E+00 -0.37272E+00 -0.37321E+00
 -0.37321E+00 -0.37379E+00 -0.37717E+00 -0.38100E+00 -0.38753E+00

     time=      31.00(fs). Energy of active surface:-0.62220E-01 RYD
 -0.61846E-02 -0.26767E-01 -0.47579E-01 -0.62220E-01 -0.62220E-01 -0.80588E-01 -0.12683E+00
 -0.12683E+00 -0.12751E+00 -0.13147E+00 -0.17769E+00 -0.18485E+00 -0.18485E+00 -0.19057E+00
 -0.23050E+00 -0.23553E+00 -0.23553E+00 -0.24115E+00 -0.27443E+00 -0.27863E+00 -0.27863E+00
 -0.28461E+00 -0.31367E+00 -0.31401E+00 -0.31401E+00 -0.31528E+00 -0.33773E+00 -0.34161E+00
 -0.34161E+00 -0.34281E+00 -0.35285E+00 -0.36135E+00 -0.36135E+00 -0.37310E+00 -0.37321E+00
 -0.37321E+00 -0.37391E+00 -0.37717E+00 -0.38175E+00 -0.38711E+00

     time=      32.00(fs). Energy of active surface:-0.62220E-01 RYD
 -0.61846E-02 -0.21389E-01 -0.46718E-01 -0.62220E-01 -0.62220E-01 -0.77117E-01 -0.12399E+00
 -0.12683E+00 -0.12683E+00 -0.13292E+00 -0.17187E+00 -0.18485E+00 -0.18485E+00 -0.19429E+00
 -0.23295E+00 -0.23553E+00 -0.23553E+00 -0.24297E+00 -0.27686E+00 -0.27863E+00 -0.27863E+00
 -0.28322E+00 -0.31287E+00 -0.31401E+00 -0.31401E+00 -0.31551E+00 -0.33787E+00 -0.34161E+00
 -0.34161E+00 -0.34174E+00 -0.35168E+00 -0.36135E+00 -0.36135E+00 -0.37283E+00 -0.37321E+00
 -0.37321E+00 -0.37386E+00 -0.37717E+00 -0.38243E+00 -0.38660E+00

     time=      33.00(fs). Energy of active surface:-0.62220E-01 RYD
 -0.61846E-02 -0.14437E-01 -0.48019E-01 -0.62220E-01 -0.62220E-01 -0.72271E-01 -0.12079E+00
 -0.12683E+00 -0.12683E+00 -0.13153E+00 -0.16886E+00 -0.18485E+00 -0.18485E+00 -0.19605E+00
 -0.23553E+00 -0.23553E+00 -0.23612E+00 -0.24340E+00 -0.27863E+00 -0.27863E+00 -0.27888E+00
 -0.28146E+00 -0.31099E+00 -0.31401E+00 -0.31401E+00 -0.31656E+00 -0.33822E+00 -0.34065E+00
 -0.34161E+00 -0.34161E+00 -0.35082E+00 -0.36135E+00 -0.36135E+00 -0.37219E+00 -0.37321E+00
 -0.37321E+00 -0.37360E+00 -0.37717E+00 -0.38294E+00 -0.38604E+00

     time=      34.00(fs). Energy of active surface:-0.62220E-01 RYD
 -0.61846E-02 -0.64213E-02 -0.51262E-01 -0.62220E-01 -0.62220E-01 -0.66806E-01 -0.11891E+00
 -0.12683E+00 -0.12683E+00 -0.12907E+00 -0.16915E+00 -0.18485E+00 -0.18485E+00 -0.19607E+00
